"","Scale","Model","Comp","Chi2","df","CFI","TLI","RMSEA","Chi2_diff","Chi2_diff_df","Chi2_dfff_p"
"1","configural","leisurea",NA,338.795,41,0.93,0.924,0.054,NA,NA,NA
"2","metric","leisurea",NA,340.291,51,0.932,0.94,0.048,37.121,10,1e-04
"3","scalar","leisurea",NA,587.677,71,0.879,0.924,0.054,294.85,20,0
"4","scalar","leisurea","leisa0f$3",482.581,70,0.904,0.938,0.049,NA,NA,NA
"5","scalar","leisurea","leisa0b$3",446.216,69,0.912,0.943,0.047,NA,NA,NA
"6","scalar","leisurea","leisa0a$1",417.214,68,0.918,0.946,0.046,NA,NA,NA
"7","scalar","leisurea","leisa0e$1",390.42,67,0.924,0.949,0.044,NA,NA,NA
"8","configural","leisureb",NA,105.851,16,0.977,0.974,0.048,NA,NA,NA
"9","metric","leisureb",NA,107.205,22,0.978,0.982,0.04,10.607,6,0.1013
"10","scalar","leisureb",NA,189.46,34,0.96,0.979,0.043,93.191,12,0
"11","scalar","leisureb","leisb0b$2",147.107,33,0.97,0.984,0.038,NA,NA,NA
